"Location","Name","Description","GUID","Physical address","Interface type","State","SSID","BSSID","Network type","Radio type","Authentication","Cipher","Connection mode","Band","Channel","Receive rate (Mbps)","Transmit rate (Mbps)","Signal","Profile","Hosted network status"
"Stair2","Wi-Fi","Intel(R) Wi-Fi 6 AX201 160MHz","4f26b292-b95c-425b-8b19-d1752e0754ff","c0:b8:83:9d:a4:77",,"connected","WLAN-SMU","b0:b8:67:63:7f:22","Infrastructure","802.11n","WPA2-Enterprise","CCMP","Profile",,"6","52","26","46%","WLAN-SMU","Not available"
"GSR2-4","Wi-Fi","Intel(R) Wi-Fi 6 AX201 160MHz","4f26b292-b95c-425b-8b19-d1752e0754ff","c0:b8:83:9d:a4:77",,"disconnected",,,,,,,,,,,,,,"Not available"
"GSR2-3/2","Wi-Fi","Intel(R) Wi-Fi 6 AX201 160MHz","4f26b292-b95c-425b-8b19-d1752e0754ff","c0:b8:83:9d:a4:77",,"connected","WLAN-SMU","b0:b8:67:63:6b:92","Infrastructure","802.11ac","WPA2-Enterprise","CCMP","Profile",,"60","400","400","87%","WLAN-SMU","Not available"
"GSR2-1","Wi-Fi","Intel(R) Wi-Fi 6 AX201 160MHz","4f26b292-b95c-425b-8b19-d1752e0754ff","c0:b8:83:9d:a4:77",,"connected","WLAN-SMU","b0:b8:67:63:6b:92","Infrastructure","802.11ac","WPA2-Enterprise","CCMP","Profile",,"60","400","400","87%","WLAN-SMU","Not available"
"PrintingRoom","Wi-Fi","Intel(R) Wi-Fi 6 AX201 160MHz","4f26b292-b95c-425b-8b19-d1752e0754ff","c0:b8:83:9d:a4:77",,"connected","WLAN-SMU","b0:b8:67:63:6b:92","Infrastructure","802.11ac","WPA2-Enterprise","CCMP","Profile",,"60","360","360","80%","WLAN-SMU","Not available"
"Stairs1","Wi-Fi","Intel(R) Wi-Fi 6 AX201 160MHz","4f26b292-b95c-425b-8b19-d1752e0754ff","c0:b8:83:9d:a4:77",,"connected","WLAN-SMU","b0:b8:67:63:6b:92","Infrastructure","802.11ac","WPA2-Enterprise","CCMP","Profile",,"60","400","360","75%","WLAN-SMU","Not available"
"FToilet","Wi-Fi","Intel(R) Wi-Fi 6 AX201 160MHz","4f26b292-b95c-425b-8b19-d1752e0754ff","c0:b8:83:9d:a4:77",,"connected","WLAN-SMU","b0:b8:67:63:6b:92","Infrastructure","802.11ac","WPA2-Enterprise","CCMP","Profile",,"60","300","300","50%","WLAN-SMU","Not available"
"LW2.1b","Wi-Fi","Intel(R) Wi-Fi 6 AX201 160MHz","4f26b292-b95c-425b-8b19-d1752e0754ff","c0:b8:83:9d:a4:77",,"connected","WLAN-SMU","b0:b8:67:63:6b:92","Infrastructure","802.11ac","WPA2-Enterprise","CCMP","Profile",,"60","300","26","40%","WLAN-SMU","Not available"
"Lift2","Wi-Fi","Intel(R) Wi-Fi 6 AX201 160MHz","4f26b292-b95c-425b-8b19-d1752e0754ff","c0:b8:83:9d:a4:77",,"connected","WLAN-SMU","b0:b8:67:63:6b:92","Infrastructure","802.11ac","WPA2-Enterprise","CCMP","Profile",,"60","121.5","26","40%","WLAN-SMU","Not available"
"Lift1","Wi-Fi","Intel(R) Wi-Fi 6 AX201 160MHz","4f26b292-b95c-425b-8b19-d1752e0754ff","c0:b8:83:9d:a4:77",,"connected","WLAN-SMU","b0:b8:67:63:6b:92","Infrastructure","802.11ac","WPA2-Enterprise","CCMP","Profile",,"60","360","360","72%","WLAN-SMU","Not available"
