Location,Name,Description,GUID,Physical address,Interface type,State,SSID,BSSID,Network type,Radio type,Authentication,Cipher,Connection mode,Band,Channel,Receive rate (Mbps),Transmit rate (Mbps),Signal,Profile,Hosted network status
GSR2-6,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:7f:32,Infrastructure,802.11ac,WPA2-Enterprise,CCMP,Auto Connect,5 GHz,108,400,400,100%,WLAN-SMU,Not available
CommonArea,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:7f:32,Infrastructure,802.11ac,WPA2-Enterprise,CCMP,Auto Connect,5 GHz,108,400,400,80%,WLAN-SMU,Not available
SR2-4a,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:7f:32,Infrastructure,802.11ac,WPA2-Enterprise,CCMP,Auto Connect,5 GHz,108,400,400,95%,WLAN-SMU,Not available
SR2-4b,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:7f:32,Infrastructure,802.11ac,WPA2-Enterprise,CCMP,Auto Connect,5 GHz,108,400,400,75%,WLAN-SMU,Not available
Stairs3,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:7f:32,Infrastructure,802.11ac,WPA2-Enterprise,CCMP,Auto Connect,5 GHz,108,400,400,80%,WLAN-SMU,Not available
SR2-3b,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:7f:32,Infrastructure,802.11ac,WPA2-Enterprise,CCMP,Auto Connect,5 GHz,108,400,400,100%,WLAN-SMU,Not available
SR2-3a,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:7f:32,Infrastructure,802.11ac,WPA2-Enterprise,CCMP,Auto Connect,5 GHz,108,400,400,85%,WLAN-SMU,Not available
Walkway,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:50:b2,Infrastructure,802.11ac,WPA2-Enterprise,CCMP,Auto Connect,5 GHz,153,400,400,100%,WLAN-SMU,Not available
SR2-2b,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:50:b2,Infrastructure,802.11ac,WPA2-Enterprise,CCMP,Auto Connect,5 GHz,153,400,400,85%,WLAN-SMU,Not available
SR2-2a,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:50:b2,Infrastructure,802.11ac,WPA2-Enterprise,CCMP,Auto Connect,5 GHz,153,400,400,10%,WLAN-SMU,Not available
SR2-1b,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b4:5d:50:fd:b4:c1,Infrastructure,802.11n,WPA2-Enterprise,CCMP,Auto Connect,2.4 GHz,1,72.2,72.2,100%,WLAN-SMU,Not available
SR2-1a,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b4:5d:50:fd:b4:c1,Infrastructure,802.11n,WPA2-Enterprise,CCMP,Auto Connect,2.4 GHz,1,72.2,72.2,75%,WLAN-SMU,Not available
Stairs2,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:6b:82,Infrastructure,802.11n,WPA2-Enterprise,CCMP,Auto Connect,2.4 GHz,6,72.2,72.2,100%,WLAN-SMU,Not available
GSR2-4,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:6b:82,Infrastructure,802.11n,WPA2-Enterprise,CCMP,Auto Connect,2.4 GHz,6,72.2,72.2,100%,WLAN-SMU,Not available
GSR2-3/2,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:6b:92,Infrastructure,802.11ac,WPA2-Enterprise,CCMP,Auto Connect,5 GHz,60,400,400,100%,WLAN-SMU,Not available
GSR2-1,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:6b:92,Infrastructure,802.11ac,WPA2-Enterprise,CCMP,Auto Connect,5 GHz,60,400,400,95%,WLAN-SMU,Not available
PrintingRoom,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:6b:92,Infrastructure,802.11ac,WPA2-Enterprise,CCMP,Auto Connect,5 GHz,60,400,400,100%,WLAN-SMU,Not available
LW2.1a,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:6b:92,Infrastructure,802.11ac,WPA2-Enterprise,CCMP,Auto Connect,5 GHz,60,400,400,100%,WLAN-SMU,Not available
Stairs1,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:6b:92,Infrastructure,802.11ac,WPA2-Enterprise,CCMP,Auto Connect,5 GHz,60,400,400,95%,WLAN-SMU,Not available
FToilet,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:6b:92,Infrastructure,802.11ac,WPA2-Enterprise,CCMP,Auto Connect,5 GHz,60,400,400,100%,WLAN-SMU,Not available
LW2.1b,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:6b:92,Infrastructure,802.11ac,WPA2-Enterprise,CCMP,Auto Connect,5 GHz,60,400,400,95%,WLAN-SMU,Not available
Lift2,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:6b:92,Infrastructure,802.11ac,WPA2-Enterprise,CCMP,Auto Connect,5 GHz,60,400,400,95%,WLAN-SMU,Not available
Lift1,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:6b:92,Infrastructure,802.11ac,WPA2-Enterprise,CCMP,Auto Connect,5 GHz,60,400,400,95%,WLAN-SMU,Not available
MToilet,Wi-Fi,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,15cefa01-5554-4f05-9a3c-6c020c36e074,e0:0a:f6:9e:4f:dd,Primary,connected,WLAN-SMU,b0:b8:67:63:6b:92,Infrastructure,802.11ac,WPA2-Enterprise,CCMP,Auto Connect,5 GHz,60,400,400,100%,WLAN-SMU,Not available
