location,ssid,network type,authentication,encryption,bssid,dbm,radio_type,channel
FToilet,BayView Hotel BH 1,Infrastructure,Open,,02:0d:3c:21:99:0d,-92.0,802.11a,153
FToilet,eduroam,Infrastructure,WPA2-Enterprise,CCMP,18:64:72:4c:9a:62,-74.0,802.11n,1
FToilet,eduroam,Infrastructure,WPA2-Enterprise,CCMP,18:64:72:4c:9a:72,-74.0,802.11ac,36
FToilet,eduroam,Infrastructure,WPA2-Enterprise,CCMP,18:64:72:5e:a9:62,-87.0,802.11n,1
FToilet,eduroam,Infrastructure,WPA2-Enterprise,CCMP,18:64:72:5e:a9:72,-86.0,802.11ac,149
FToilet,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:62:a0:31,-80.0,802.11ac,112
FToilet,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:30:81,-74.0,802.11n,1
FToilet,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:30:91,-74.0,802.11ac,149
FToilet,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:4a:31,-76.0,802.11ac,124
FToilet,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:4f:71,-95.0,802.11ac,116
FToilet,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:50:a1,-63.0,802.11n,11
FToilet,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:50:b1,-56.0,802.11ac,153
FToilet,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:57:51,-73.0,802.11ac,56
FToilet,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:6b:81,-68.0,802.11n,6
FToilet,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:6b:91,-61.0,802.11ac,60
FToilet,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:7f:31,-84.0,802.11ac,108
FToilet,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b4:5d:50:fe:41:82,-81.0,802.11n,1
FToilet,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b4:5d:50:fe:41:92,-87.0,802.11ac,100
FToilet,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b4:5d:50:fe:41:c2,-81.0,802.11n,6
FToilet,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b4:5d:50:fe:41:d2,-83.0,802.11ac,52
FToilet,eduroam,Infrastructure,WPA2-Enterprise,CCMP,f0:5c:19:ba:be:f2,-94.0,802.11ac,40
FToilet,Galaxy A35 5G 21DE,Infrastructure,,CCMP,86:7e:c9:50:15:80,-94.0,802.11n,11
FToilet,SMU_Visitor,Infrastructure,Open,,18:64:72:4c:9a:61,-75.0,802.11n,1
FToilet,SMU_Visitor,Infrastructure,Open,,18:64:72:4c:9a:71,-74.0,802.11ac,36
FToilet,SMU_Visitor,Infrastructure,Open,,18:64:72:5e:a9:61,-87.0,802.11n,1
FToilet,SMU_Visitor,Infrastructure,Open,,18:64:72:5e:a9:71,-86.0,802.11ac,149
FToilet,SMU_Visitor,Infrastructure,Open,,38:17:c3:0c:7f:f0,-92.0,802.11ac,161
FToilet,SMU_Visitor,Infrastructure,Open,,b0:b8:67:62:a0:30,-80.0,802.11ac,112
FToilet,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:30:80,-73.0,802.11n,1
FToilet,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:30:90,-74.0,802.11ac,149
FToilet,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:4a:30,-77.0,802.11ac,124
FToilet,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:4f:70,-95.0,802.11ac,116
FToilet,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:50:a0,-63.0,802.11n,11
FToilet,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:50:b0,-56.0,802.11ac,153
FToilet,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:57:50,-73.0,802.11ac,56
FToilet,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:6b:80,-69.0,802.11n,6
FToilet,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:6b:90,-61.0,802.11ac,60
FToilet,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:7f:30,-84.0,802.11ac,108
FToilet,SMU_Visitor,Infrastructure,Open,,b4:5d:50:fe:41:90,-86.0,802.11ac,100
FToilet,SMU_Visitor,Infrastructure,Open,,b4:5d:50:fe:41:c0,-80.0,802.11n,6
FToilet,SMU_Visitor,Infrastructure,Open,,b4:5d:50:fe:41:d0,-83.0,802.11ac,52
FToilet,SMU_Visitor,Infrastructure,Open,,f0:5c:19:ba:be:f1,-94.0,802.11ac,40
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,18:64:72:4c:9a:60,-74.0,802.11n,1
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,18:64:72:4c:9a:70,-73.0,802.11ac,36
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,18:64:72:5e:a9:60,-88.0,802.11n,1
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,18:64:72:5e:a9:70,-86.0,802.11ac,149
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,38:17:c3:0c:7f:f1,-92.0,802.11ac,161
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:62:1f:b2,-81.0,802.11ac,120
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:62:a0:32,-80.0,802.11ac,112
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:30:82,-74.0,802.11n,1
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:30:92,-74.0,802.11ac,149
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:4a:32,-76.0,802.11ac,124
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:50:a2,-63.0,802.11n,11
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:50:b2,-55.0,802.11ac,153
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:51:d2,-92.0,802.11ac,64
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:57:52,-73.0,802.11ac,56
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:63:92,-91.0,802.11ac,60
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:66:22,-89.0,802.11n,1
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:6b:82,-69.0,802.11n,6
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:6b:92,-61.0,802.11ac,60
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:7f:22,-90.0,802.11n,6
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:7f:32,-84.0,802.11ac,108
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b4:5d:50:fe:41:91,-87.0,802.11ac,100
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b4:5d:50:fe:41:c1,-81.0,802.11n,6
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b4:5d:50:fe:41:d1,-83.0,802.11ac,52
FToilet,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,f0:5c:19:ba:be:f0,-94.0,802.11ac,40
GSR2-1,BayView Hotel BH 1,Infrastructure,Open,,02:0d:3c:21:99:0d,-89.0,802.11a,153
GSR2-1,BayView Hotel BH 1,Infrastructure,Open,,02:0d:3c:2e:99:ef,-89.0,802.11a,140
GSR2-1,dlink-M920-e26a,Infrastructure,,CCMP,bc:22:28:5e:e2:6a,-75.0,802.11n,6
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,18:64:72:4c:9a:62,-61.0,802.11n,1
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,18:64:72:4c:9a:72,-64.0,802.11ac,36
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,18:64:72:5e:a9:72,-94.0,802.11ac,149
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:62:1f:b0,-87.0,802.11ac,120
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:62:a0:21,-80.0,802.11n,6
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:62:a0:31,-82.0,802.11ac,112
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:30:91,-81.0,802.11ac,149
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:35:51,-85.0,802.11ac,104
GSR2-1,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:4a:21,-87.0,802.11n,11
