location,ssid,network type,authentication,encryption,bssid,dbm,radio_type,channel
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:66:21,-73.5,802.11n,11
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b4:5d:50:fd:b0:92,-89.0,802.11ac,132
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,18:64:72:4c:9a:72,-61.0,802.11ac,161
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:50:b1,-89.0,802.11ac,153
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:35:51,-67.5,802.11ac,104
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:4f:71,-59.5,802.11ac,64
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:4f:61,-69.0,802.11n,6
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,18:64:72:4c:9a:62,-71.5,802.11n,6
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:35:41,-81.0,802.11n,1
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b4:5d:50:fd:b4:c2,-82.5,802.11n,1
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:50:a1,-89.0,802.11n,1
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:6b:81,-64.0,802.11n,11
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:6b:91,-58.5,802.11ac,52
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:62:bf:51,-81.0,802.11ac,44
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:62:bf:41,-87.0,802.11n,11
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:30:91,-59.5,802.11ac,48
PrintingRoom,TP-Link_9AD2,,,,b0:b8:67:63:30:81,-80.0,802.11n,1
PrintingRoom,SMU_Visitor,,,,78:8c:b5:f5:9a:d2,-92.0,802.11n,1
PrintingRoom,SMU_Visitor,,,,18:64:72:4c:9a:71,-61.0,802.11ac,161
PrintingRoom,SMU_Visitor,,,,b0:b8:67:63:50:b0,-89.0,802.11ac,153
PrintingRoom,SMU_Visitor,,,,b4:5d:50:fd:b0:90,-88.0,802.11ac,132
PrintingRoom,SMU_Visitor,,,,b0:b8:67:63:35:50,-67.5,802.11ac,104
PrintingRoom,SMU_Visitor,,,,b0:b8:67:63:4f:70,-59.5,802.11ac,64
PrintingRoom,SMU_Visitor,,,,b0:b8:67:63:4f:60,-70.0,802.11n,6
PrintingRoom,SMU_Visitor,,,,18:64:72:4c:9a:61,-71.5,802.11n,6
PrintingRoom,SMU_Visitor,,,,b0:b8:67:63:35:40,-81.0,802.11n,1
PrintingRoom,SMU_Visitor,,,,b4:5d:50:fd:b4:c0,-82.5,802.11n,1
PrintingRoom,SMU_Visitor,,,,b0:b8:67:63:6b:80,-64.0,802.11n,11
PrintingRoom,SMU_Visitor,,,,b0:b8:67:63:6b:90,-58.5,802.11ac,52
PrintingRoom,SMU_Visitor,,,,b0:b8:67:62:bf:50,-81.0,802.11ac,44
PrintingRoom,SMU_Visitor,,,,b0:b8:67:62:bf:40,-84.5,802.11n,11
PrintingRoom,SMU_Visitor,,,,b0:b8:67:63:55:e0,-87.0,802.11n,11
PrintingRoom,SMU_Visitor,,,,b0:b8:67:63:30:90,-59.5,802.11ac,48
PrintingRoom,WLAN-SMU,,,,b0:b8:67:63:30:80,-81.0,802.11n,1
PrintingRoom,WLAN-SMU,,,,18:64:72:4c:9a:70,-60.0,802.11ac,161
PrintingRoom,WLAN-SMU,,,,b0:b8:67:63:50:b2,-85.5,802.11ac,153
PrintingRoom,WLAN-SMU,,,,b4:5d:50:fd:b0:91,-88.0,802.11ac,132
PrintingRoom,WLAN-SMU,,,,b0:b8:67:63:35:52,-61.0,802.11ac,104
PrintingRoom,WLAN-SMU,,,,b0:b8:67:63:4f:72,-61.0,802.11ac,64
PrintingRoom,WLAN-SMU,,,,b0:b8:67:63:6b:92,-57.5,802.11ac,52
PrintingRoom,WLAN-SMU,,,,b0:b8:67:63:66:32,-66.5,802.11ac,40
PrintingRoom,WLAN-SMU,,,,b0:b8:67:63:4f:62,-83.5,802.11n,6
PrintingRoom,WLAN-SMU,,,,18:64:72:4c:9a:60,-60.0,802.11n,6
PrintingRoom,WLAN-SMU,,,,b0:b8:67:63:50:a2,-80.0,802.11n,1
PrintingRoom,WLAN-SMU,,,,b0:b8:67:63:35:42,-80.0,802.11n,1
PrintingRoom,WLAN-SMU,,,,b0:b8:67:63:66:22,-75.0,802.11n,11
PrintingRoom,WLAN-SMU,,,,b0:b8:67:63:57:42,-81.0,802.11n,11
PrintingRoom,WLAN-SMU,,,,b0:b8:67:63:6b:82,-64.0,802.11n,11
PrintingRoom,WLAN-SMU,,,,b4:5d:50:fd:b4:c1,-83.5,802.11n,1
PrintingRoom,WLAN-SMU,,,,b0:b8:67:62:bf:52,-80.0,802.11ac,44
PrintingRoom,WLAN-SMU,,,,b0:b8:67:62:bf:42,-85.5,802.11n,11
PrintingRoom,WLAN-SMU,,,,b0:b8:67:63:30:92,-84.5,802.11ac,48
PrintingRoom,dlink-M920-e26a,,,,b0:b8:67:63:30:82,-87.0,802.11n,1
PrintingRoom,70mai_M300_a066,,,,bc:22:28:5e:e2:6a,-81.0,802.11n,11
PrintingRoom,70mai_M300_a066,,,,34:20:03:e2:a0:66,-88.0,802.11n,6
Stairs1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:66:20,-62.5,802.11n,11
Stairs1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:57:40,-87.0,802.11n,11
Stairs1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:4a:20,-90.0,802.11n,11
Stairs1,SMU_Visitor,Infrastructure,Open,,18:64:72:4c:9a:71,-61.0,802.11ac,161
Stairs1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:50:b0,-90.0,802.11ac,153
Stairs1,SMU_Visitor,Infrastructure,Open,,b4:5d:50:fd:b0:90,-91.0,802.11ac,132
Stairs1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:35:50,-73.5,802.11ac,104
Stairs1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:4f:70,-59.0,802.11ac,64
Stairs1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:4f:60,-70.0,802.11n,6
Stairs1,SMU_Visitor,Infrastructure,Open,,18:64:72:4c:9a:61,-71.5,802.11n,6
Stairs1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:35:40,-81.0,802.11n,1
Stairs1,SMU_Visitor,Infrastructure,Open,,b4:5d:50:fd:b4:c0,-82.5,802.11n,1
Stairs1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:6b:80,-70.0,802.11n,11
Stairs1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:6b:90,-57.0,802.11ac,52
Stairs1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:62:bf:50,-81.0,802.11ac,44
Stairs1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:62:bf:40,-84.5,802.11n,11
Stairs1,SMU_Visitor,Infrastructure,Open,,b0:b8:67:63:30:90,-59.5,802.11ac,48
Stairs1,WLAN-SMU,,,,b0:b8:67:63:30:80,-81.0,802.11n,1
Stairs1,WLAN-SMU,,,,b4:5d:50:fd:b4:d1,-82.5,802.11ac,52
Stairs1,WLAN-SMU,,,,b0:b8:67:63:4a:22,-91.0,802.11n,11
Stairs1,WLAN-SMU,,,,18:64:72:4c:9a:70,-69.0,802.11ac,161
Stairs1,WLAN-SMU,,,,b0:b8:67:63:50:b2,-88.0,802.11ac,153
Stairs1,WLAN-SMU,,,,b4:5d:50:fd:b0:91,-88.0,802.11ac,132
Stairs1,WLAN-SMU,,,,b0:b8:67:63:35:52,-60.0,802.11ac,104
Stairs1,WLAN-SMU,,,,b0:b8:67:63:4f:72,-59.0,802.11ac,64
Stairs1,WLAN-SMU,,,,b0:b8:67:63:6b:92,-59.5,802.11ac,52
Stairs1,WLAN-SMU,,,,b0:b8:67:63:66:32,-59.0,802.11ac,40
Stairs1,WLAN-SMU,,,,b0:b8:67:63:4f:62,-77.0,802.11n,6
Stairs1,WLAN-SMU,,,,18:64:72:4c:9a:60,-69.0,802.11n,6
Stairs1,WLAN-SMU,,,,b0:b8:67:63:50:a2,-80.0,802.11n,1
Stairs1,WLAN-SMU,,,,b0:b8:67:63:35:42,-81.0,802.11n,1
Stairs1,WLAN-SMU,,,,b0:b8:67:63:66:22,-62.5,802.11n,11
Stairs1,WLAN-SMU,,,,b0:b8:67:63:57:42,-85.5,802.11n,11
Stairs1,WLAN-SMU,,,,b0:b8:67:63:6b:82,-69.0,802.11n,11
Stairs1,WLAN-SMU,,,,b4:5d:50:fd:b4:c1,-90.0,802.11n,1
Stairs1,WLAN-SMU,,,,b0:b8:67:62:bf:52,-80.0,802.11ac,44
Stairs1,WLAN-SMU,,,,b0:b8:67:62:bf:42,-85.5,802.11n,11
Stairs1,WLAN-SMU,,,,b0:b8:67:63:30:82,-87.0,802.11n,1
Stairs1,eduroam,,,,b0:b8:67:63:30:92,-84.5,802.11ac,48
Stairs1,eduroam,,,,b0:b8:67:63:57:41,-88.0,802.11n,11
Stairs1,eduroam,,,,b0:b8:67:63:4a:21,-90.0,802.11n,11
