Location,SSID,Network type,Authentication,Encryption,BSSID,Signal,dBm,Radio type,Channel,Basic rates (Mbps),Other rates (Mbps)
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:66:21,53%,-73.5,802.11n,11,12 24,36 48 54
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b4:5d:50:fd:b0:92,22%,-89,802.11ac,132,12 24,36 48 54
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,18:64:72:4c:9a:72,78%,-61,802.11ac,161,12 24,36 48 54
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:50:b1,22%,-89,802.11ac,153,12 24,36 48 54
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:35:51,65%,-67.5,802.11ac,104,12 24,36 48 54
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:4f:71,81%,-59.5,802.11ac,64,12 24,36 48 54
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:4f:61,62%,-69,802.11n,6,12 24,36 48 54
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,18:64:72:4c:9a:62,57%,-71.5,802.11n,6,12 24,36 48 54
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:35:41,38%,-81,802.11n,1,12 24,36 48 54
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b4:5d:50:fd:b4:c2,35%,-82.5,802.11n,1,12 24,36 48 54
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:50:a1,22%,-89,802.11n,1,12 24,36 48 54
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:6b:81,72%,-64,802.11n,11,12 24,36 48 54
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:6b:91,83%,-58.5,802.11ac,52,12 24,36 48 54
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:62:bf:51,38%,-81,802.11ac,44,12 24,36 48 54
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:62:bf:41,26%,-87,802.11n,11,12 24,36 48 54
PrintingRoom,eduroam,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:30:91,81%,-59.5,802.11ac,48,12 24,36 48 54
PrintingRoom,TP-Link_9AD2,,,,b0:b8:67:63:30:81,40%,-80,802.11n,1,12 24,36 48 54
PrintingRoom,SMU_Visitor,,,,78:8c:b5:f5:9a:d2,16%,-92,802.11n,1,1 2 5.5 11,6 9 12 18 24 36 48 54
PrintingRoom,SMU_Visitor,,,,18:64:72:4c:9a:71,78%,-61,802.11ac,161,12 24,36 48 54
PrintingRoom,SMU_Visitor,,,,b0:b8:67:63:50:b0,22%,-89,802.11ac,153,12 24,36 48 54
PrintingRoom,SMU_Visitor,,,,b4:5d:50:fd:b0:90,24%,-88,802.11ac,132,12 24,36 48 54
PrintingRoom,SMU_Visitor,,,,b0:b8:67:63:35:50,65%,-67.5,802.11ac,104,12 24,36 48 54
PrintingRoom,SMU_Visitor,,,,b0:b8:67:63:4f:70,81%,-59.5,802.11ac,64,12 24,36 48 54
PrintingRoom,SMU_Visitor,,,,b0:b8:67:63:4f:60,60%,-70,802.11n,6,12 24,36 48 54
PrintingRoom,SMU_Visitor,,,,18:64:72:4c:9a:61,57%,-71.5,802.11n,6,12 24,36 48 54
PrintingRoom,SMU_Visitor,,,,b0:b8:67:63:35:40,38%,-81,802.11n,1,12 24,36 48 54
PrintingRoom,SMU_Visitor,,,,b4:5d:50:fd:b4:c0,35%,-82.5,802.11n,1,12 24,36 48 54
PrintingRoom,SMU_Visitor,,,,b0:b8:67:63:6b:80,72%,-64,802.11n,11,12 24,36 48 54
PrintingRoom,SMU_Visitor,,,,b0:b8:67:63:6b:90,83%,-58.5,802.11ac,52,12 24,36 48 54
PrintingRoom,SMU_Visitor,,,,b0:b8:67:62:bf:50,38%,-81,802.11ac,44,12 24,36 48 54
