"Location","SSID","Network type","Authentication","Encryption","BSSID","Signal","dBm","Radio type","Channel","Basic rates (Mbps)","Other rates (Mbps)"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fe:41:c1","81%","-59.5","802.11n","6","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","38:17:c3:0c:7f:e1","33%","-83.5","802.11n","6","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fe:41:91","16%","-92","802.11ac","100","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","f0:5c:19:ba:bc:d0","22%","-89","802.11ac","161","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fe:44:a1","29%","-85.5","802.11n","11","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fe:41:81","26%","-87","802.11n","1","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fe:41:d1","65%","-67.5","802.11ac","52","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fe:3f:f1","38%","-81","802.11ac","116","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fe:44:b1","26%","-87","802.11ac","44","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","38:17:c3:0c:84:c1","40%","-80","802.11n","11","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fd:bd:51","35%","-82.5","802.11ac","64","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fd:bd:41","65%","-67.5","802.11n","11","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:7f:22","40%","-80","802.11n","6","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:7f:32","53%","-73.5","802.11ac","108","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fe:48:41","40%","-80","802.11n","6","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","18:64:72:4c:9a:70","22%","-89","802.11ac","36","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:4f:62","24%","-88","802.11n","6","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:66:32","22%","-89","802.11ac","48","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fd:b0:81","31%","-84.5","802.11n","11","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fe:48:51","35%","-82.5","802.11ac","136","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fd:b0:91","20%","-90","802.11ac","48","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:fd:b4:d1","46%","-77","802.11ac","52","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:6b:92","87%","-56.5","802.11ac","60","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:4a:22","35%","-82.5","802.11n","11","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:6b:82","70%","-65","802.11n","6","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b4:5d:50:ca:10:41","26%","-87","802.11n","6","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:50:a2","70%","-65","802.11n","11","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:62:bf:42","29%","-85.5","802.11n","6","12 24","36 48 54"
"Stair2","WLAN-SMU","Infrastructure","WPA2-Enterprise","CCMP","b0:b8:67:63:66:22","29%","-85.5","802.11n","1","12 24","36 48 54"
