Location,SSID,Network type,Authentication,Encryption,BSSID,Signal,dBm,Radio type,Channel,Basic rates (Mbps),Other rates (Mbps)
GSR2-6,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:7f:32,100%,-50,802.11ac,108,12 24,36 48 54
GSR2-6,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b4:5d:50:fe:41:91,30%,-85,802.11ac,100,12 24,36 48 54
GSR2-6,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b4:5d:50:fd:bd:51,40%,-80,802.11ac,64,12 24,36 48 54
GSR2-6,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b4:5d:50:fe:41:d1,15%,-92.5,802.11ac,52,12 24,36 48 54
GSR2-6,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b4:5d:50:fe:44:b1,14%,-93,802.11ac,44,12 24,36 48 54
GSR2-6,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:62:1f:b2,10%,-95,802.11ac,120,12 24,36 48 54
GSR2-6,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,94:b4:0f:92:82:50,85%,-57.5,802.11ac,120,12 24,36 48 54
GSR2-6,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:4f:72,45%,-77.5,802.11ac,116,12 24,36 48 54
GSR2-6,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:57:52,15%,-92.5,802.11ac,56,12 24,36 48 54
GSR2-6,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,b0:b8:67:63:30:92,50%,-75,802.11ac,149,12 24,36 48 54
GSR2-6,WLAN-SMU,Infrastructure,WPA2-Enterprise,CCMP,f0:5c:19:ba:be:f0,10%,-95,802.11ac,40,12 24,36 48 54
GSR2-6,SMU_5G_178902,,,,b0:b8:67:63:66:32,13%,-93.5,802.11ac,48,12 24,36 48 54
GSR2-6,Flourish Bakehouse,,,,a0:36:bc:4b:66:44,15%,-92.5,802.11ax,40,6 24,9 12 18 36 48 54
GSR2-6,FB Staff-5G,,,,06:12:63:39:4f:28,14%,-93,802.11ax,36,6 12 24,9 18 36 48 54
GSR2-6,eduroam,,,,fc:12:63:39:4f:28,14%,-93,802.11ax,36,6 12 24,9 18 36 48 54
GSR2-6,eduroam,,,,b0:b8:67:63:7f:31,80%,-60,802.11ac,108,12 24,36 48 54
